Measurement,Node_1,Node_111,Node_222,Node_333,Node_444,Node_555,Node_666,Node_777,Node_888,Node_999,Node_1010,Node_1111
DISP_T1_Area,0.4986845704,0.4986880161,0.5007355865,0.5034873575,0.506971184,0.5112067753,0.5162064909,0.5219756822,0.5285144787,0.5358187201,0.5438822367,0.552698991
DISP_T1_Frequency_1,4,4,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894,4.203894
DISP_T1_DISP_1,0.3736286,0.3736295,0.3066444,0.3070486,0.3074595,0.3078757,0.3082958,0.3087186,0.3091434,0.3095693,0.3099959,0.3104228
DISP_T1_Frequency_2,4.10068,4.10068,61.6037,61.6037,61.6037,62.55404,62.55404,62.55404,62.55404,62.55404,62.55404,62.55404
DISP_T1_DISP_2,0.3382647,0.3382655,8.016789e-05,0.0002605621,0.0005534086,0.001335135,0.002111832,0.003074319,0.004223514,0.005559128,0.007080146,0.008785416
DISP_T1_Frequency_3,4.203894,4.203894,78.98881,91.69399,106.4428,129.8623,1101.359,1101.359,1102.351,1101.359,1101.359,1101.359
DISP_T1_DISP_3,0.3062479,0.3062487,9.57332e-07,2.97306e-07,8.783833e-08,2.078529e-08,7.924861e-09,3.705598e-09,3.605981e-10,1.062374e-09,7.923566e-09,2.143218e-08
DISP_T2_Area,0,1.695603905e-18,1.352648588e-18,2.347213059e-18,8.855798416e-18,1.367231749e-20,1.183808797e-17,5.153600446e-18,3.8320578e-18,1.378113907e-17,1.906036309e-19,2.056937562e-17
DISP_T2_Frequency_1,41.38784,1935.871,55.77291,61.6037,61.6037,62.55404,54.40357,51.76493,62.55404,61.6037,62.55404,51.76493
DISP_T2_DISP_1,0,3.974352e-21,7.926811e-27,1.446159e-25,4.095592e-25,8.464095e-25,4.390977e-26,1.851585e-26,2.435881e-24,2.067752e-24,4.402262e-24,6.897763e-26
DISP_T2_Frequency_2,43.49752,1950.896,64.74385,1935.871,1935.871,1935.871,63.15426,63.15426,1935.871,1935.871,1935.871,63.15426
DISP_T2_DISP_2,0,4.118288e-21,2.201232e-26,5.722409e-21,2.099268e-20,4.480119e-23,1.43313e-24,1.693692e-24,9.276697e-21,3.30554e-20,4.496379e-22,5.040418e-24
DISP_T2_Frequency_3,2000,2000,1935.871,2000,2000,2000,1935.871,1935.871,2000,2000,2000,1935.871
DISP_T2_DISP_3,0,4.619891e-21,3.10337e-21,6.734242e-21,2.44842e-20,5.795597e-23,2.844519e-20,1.223595e-20,1.089262e-20,3.869922e-20,5.236231e-22,4.943055e-20
DISP_T3_Area,0,1.107424881e-28,1.216078506e-28,3.334944155e-29,7.663215567e-31,5.993520463e-29,8.703365842e-30,1.648175232e-32,3.202647319e-29,6.138317502e-29,7.919313098e-32,6.097924833e-32
DISP_T3_Frequency_1,41.38784,4.203894,58.61585,4.203894,4.203894,4.203894,58.61585,62.55404,60.09121,4.203894,62.55404,62.55404
DISP_T3_DISP_1,0,5.113187e-32,6.393539e-32,1.566559e-32,2.959566e-34,2.739582e-32,4.482747e-33,1.695882e-33,2.559657e-32,2.842544e-32,9.398542e-33,7.865819e-33
DISP_T3_Frequency_2,43.49752,66.37346,1935.871,66.37346,64.74385,66.37346,1935.871,63.15426,61.6037,66.37346,63.15426,63.15426
DISP_T3_DISP_2,0,5.901175e-32,7.046978e-32,1.651101e-32,1.029452e-33,3.182518e-32,5.03545e-33,1.279214e-33,3.057904e-32,2.917862e-32,7.200887e-33,6.049218e-33
DISP_T3_Frequency_3,2000,1935.871,2000,1935.871,1935.871,1935.871,2000,439.017,1935.871,1935.871,1935.871,1935.871
DISP_T3_DISP_3,0,6.208737e-32,7.162342e-32,1.850936e-32,4.707523e-34,3.416864e-32,5.115937e-33,5.574772e-36,1.807131e-32,3.517206e-32,2.753552e-35,2.005603e-35
DISP_R1_Area,0,2.289725823e-21,3.821738523e-22,1.812071936e-22,3.216722834e-25,6.168304048e-22,2.164400382e-22,2.916643643e-22,6.710654935e-22,1.020853917e-23,1.595012611e-21,2.949869698e-21
DISP_R1_Frequency_1,41.38784,57.17671,56.29864,60.09121,62.55404,56.29864,55.77291,60.09121,60.09121,50.494,56.29864,57.17671
DISP_R1_DISP_1,0,1.254844e-29,1.963839e-30,2.532295e-30,5.464772e-30,2.811058e-30,1.058231e-30,3.116906e-30,6.230592e-30,2.283244e-32,7.320786e-30,1.418536e-29
DISP_R1_Frequency_2,43.49752,64.74385,64.74385,1935.871,1935.871,64.74385,64.74385,1935.871,1935.871,63.15426,64.74385,64.74385
DISP_R1_DISP_2,0,2.055563e-29,4.285813e-30,4.268811e-25,1.232597e-27,5.801685e-30,2.780098e-30,7.06325e-25,1.605214e-24,4.629288e-30,1.316702e-29,2.337236e-29
DISP_R1_Frequency_3,2000,1935.871,1935.871,2000,2000,1935.871,1935.871,2000,2000,1935.871,1935.871,1935.871
DISP_R1_DISP_3,0,5.37081e-24,8.906061e-25,4.96851e-25,1.684192e-27,1.476938e-24,5.086871e-25,8.294531e-25,1.877634e-24,2.547243e-26,3.830328e-24,7.075261e-24
DISP_R2_Area,0,3.115220004e-08,3.267106427e-08,3.39739768e-08,3.505614864e-08,3.592115392e-08,3.657958678e-08,3.704826694e-08,3.735031087e-08,3.751585216e-08,3.758278324e-08,3.759682669e-08
DISP_R2_Frequency_1,41.38784,62.55404,62.55404,62.55404,62.55404,62.55404,62.55404,62.55404,62.55404,62.55404,62.55404,62.55404
DISP_R2_DISP_1,0,7.625099e-09,7.997257e-09,8.317105e-09,8.582905e-09,8.794929e-09,8.955474e-09,9.068822e-09,9.141143e-09,9.180379e-09,9.196099e-09,9.199373e-09
DISP_R2_Frequency_2,43.49752,63.15426,63.15426,63.15426,63.15426,1074.318,1101.359,63.15426,63.15426,63.15426,63.15426,63.15426
DISP_R2_DISP_2,0,6.09085e-09,6.388256e-09,6.644096e-09,6.856884e-09,8.824016e-16,3.711624e-14,7.246418e-09,7.304479e-09,7.335996e-09,7.348631e-09,7.351264e-09
DISP_R2_Frequency_3,2000,1102.351,1102.351,1102.351,1102.351,1343.68,1935.871,1101.359,1101.359,1101.359,1101.359,1101.359
DISP_R2_DISP_3,0,1.351683e-13,1.189042e-13,6.864496e-14,1.747489e-14,5.984149e-17,4.380615e-18,1.167196e-13,2.100557e-13,2.845077e-13,3.228903e-13,3.323487e-13
DISP_R3_Area,0,3.994519362e-33,4.495963695e-33,1.368063333e-33,1.388052166e-32,2.019606909e-34,6.842286739e-34,1.276808895e-32,2.834659319e-34,2.503002965e-32,3.116932661e-32,1.660220222e-32
DISP_R3_Frequency_1,41.38784,61.6037,61.6037,61.6037,61.6037,62.55404,62.55404,61.6037,62.55404,4.203894,58.61585,4.203894
DISP_R3_DISP_1,0,9.080421e-35,6.10445e-35,4.657892e-35,8.939933e-35,4.739075e-35,3.943402e-35,2.698853e-35,6.480506e-35,1.000793e-35,1.459383e-35,7.566337e-36
DISP_R3_Frequency_2,43.49752,62.55404,62.55404,62.55404,62.55404,1074.318,63.15426,62.55404,1022.213,64.74385,1935.871,66.37346
DISP_R3_DISP_2,0,1.178903e-34,7.478278e-35,6.275669e-35,9.785535e-35,4.291197e-39,2.916919e-35,2.31068e-35,9.579954e-39,3.806086e-35,1.765772e-35,9.261161e-36
DISP_R3_Frequency_3,2000,1935.871,1935.871,1935.871,1935.871,1935.871,1935.871,1935.871,1935.871,1935.871,2000,1935.871
DISP_R3_DISP_3,0,1.984159e-36,2.368304e-36,6.261723e-37,7.651604e-36,4.832232e-39,2.982405e-37,7.207419e-36,1.039089e-38,1.409482e-35,1.790005e-35,9.392155e-36
